Product Name,29113425
Station Name,EOL
Serial Number,!203020120!_V29113441
DateTime,20210401_163250
Total Test Time,294.400000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.760
Switch ON CAN_12,,,,,Passed,0.135
Switch On CAN_34,,,,,Passed,0.139
Voltage=12.5V,,,,,Passed,0.147
Current=5A,,,,,Passed,0.137
12V_DC_Source,,,,,Passed,0.101
Wait,,,,,Passed,1.020
Switch ON Current measure,,,,,Passed,0.136
Switch OFF 12V_9,,,,,Passed,0.134
Switch On 12V_9,,,,,Passed,0.135
Wait,,,,,Passed,0.518
Switch OFF Current measure,,,,,Passed,0.135
Wait,,,,,Passed,0.518
Wake up,,,,,Passed,1.056
Wait,,,,,Passed,0.518
Switch OFF CAN_34,,,,,Passed,0.137
Wait,,,,,Passed,5.018
Standby Power Current Measure,0.736,,0.6,0.9,Passed,0.163
Connect DUT,,,,,Passed,4.649
Wait,,,,,Passed,0.517
Read MAIN_MSGu8InverterHVILStatus,1,,0,0,Failed,0.027
Switch On 14,,,,,Passed,0.137
Wait,,,,,Passed,0.518
Switch OFF CAN_43,,,,,Passed,0.137
Switch On 12V_10,,,,,Passed,0.137
Switch On 12V_20,,,,,Passed,0.137
EnvironmentPath,,,,,Passed,0.980
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.164
FPGA version,0d180a03,,0d180a03,,Passed,0.031
MCU version,0405,,0405,,Passed,0.028
Read FSSMACS_AclState,50,,30,50,Passed,0.027
Read FTSMACS_AclState,3,,3,3,Passed,0.030
Read SASMACS_AclState,2,,2,2,Passed,0.026
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.028
Read FTEAEXC_UResExcAvg,0.976,,0.95,1.2,Passed,0.027
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.025
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.027
Wait,,,,,Passed,0.517
Set LV Voltage=10V,,,,,Passed,0.144
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1155,,900,1300,Passed,0.048
Set_LV_Voltage=12V,,,,,Passed,0.167
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1400,,1200,1600,Passed,0.049
Set_LV_Voltage=14V,,,,,Passed,0.162
Wait,,,,,Passed,0.519
Read_FS_UbatLV_U16,1642,,1400,1800,Passed,0.048
Read Correction,0.00821,,0,1,Passed,0.050
LV_Caculation ,,,,,Passed,0.030
NumericTest,0.00821,,0,1,Passed,0.001
Set_LV_Voltage=12.5V,,,,,Passed,0.160
Switch On CAN_34,,,,,Passed,0.138
HV_Channel ON,,,,,Passed,0.131
Apply HV Battery = 0V,,,,,Passed,0.047
HV_Source ON,,,,,Passed,0.047
Switch On HV_36,,,,,Passed,0.138
Switch On HV_38,,,,,Passed,0.136
Switch On 12V_8,,,,,Passed,0.137
Switch On 12V_9,,,,,Passed,0.138
Switch On ENS_20,,,,,Passed,0.136
Read T_Iuvw3_U16[0],2045,,2024,2080,Passed,0.027
Read T_Iuvw3_U16[1],2055,,2024,2080,Passed,0.029
Read T_Iuvw3_U16[2],2056,,2024,2080,Passed,0.031
Read FS_IbatHV_U16,2047,,2024,2080,Passed,0.026
HV_Channel ON,,,,,Passed,0.130
HV_Source ON,,,,,Passed,0.046
Apply HV Battery = 270V,,,,,Passed,0.047
Apply HV Battery =1A,,,,,Passed,0.045
Wait,,,,,Passed,0.517
Read FSEABHV_UbatHV,270.179,,265,273,Passed,0.027
HV_Channel OFF,,,,,Passed,0.131
HV_Source OFF,,,,,Passed,0.045
Wait,,,,,Passed,1.017
Read FSMAPMT_PmTemp,21.845,,18,26,Passed,0.029
Read FSMADBT_DboardTemp,21.915,,18,40,Passed,0.026
Read FSMACBT_CboardTempHV,22.809,,18,40,Passed,0.026
Read FSMACBT_CboardTempLV,22.638,,18,40,Passed,0.026
Read FSMAICT_CoolingTemp,21.787,,18,28,Passed,0.026
Read FSMAMST_StatorTemp1,83.295,,78,88,Passed,0.027
Read FSMAMST_StatorTemp2,86.647,,78,88,Passed,0.026
Wait,,,,,Passed,0.518
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.160
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.161
Wait,,,,,Passed,0.517
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.174
Set MAIN_u16ModeReq=1,,,,,Passed,0.170
Wait,,,,,Passed,0.517
Set UDS_bRoutineActive=1,,,,,Passed,0.171
Set UDS_bRoutineActive=1,,,,,Passed,0.171
Wait,,,,,Passed,0.518
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.183
Wait,,,,,Passed,0.517
ENS testing ENS_u32Dty,9744,,5000,15000,Passed,1.083
ENS testing ENS_u32Prd,19995,,10000,30000,Passed,1.082
HV_Channel ON,,,,,Passed,0.131
HV_Source ON,,,,,Passed,0.048
Apply HV Battery = 220V,,,,,Passed,0.048
Wait,,,,,Passed,0.517
Read FS_UbatHV_U16,960,,900,1000,Passed,0.049
Apply HV Battery = 280V,,,,,Passed,0.046
Wait,,,,,Passed,0.517
