Product Name,29113425
Station Name,EOL
Serial Number,!202960153!_V29113441
DateTime,20210401_110215
Total Test Time,176.000000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.760
Switch ON CAN_12,,,,,Passed,0.135
Switch On CAN_34,,,,,Passed,0.134
Voltage=12.5V,,,,,Passed,0.144
Current=5A,,,,,Passed,0.128
12V_DC_Source,,,,,Passed,0.096
Wait,,,,,Passed,1.017
Switch ON Current measure,,,,,Passed,0.351
Switch OFF 12V_9,,,,,Passed,0.133
Switch On 12V_9,,,,,Passed,0.135
Wait,,,,,Passed,0.516
Switch OFF Current measure,,,,,Passed,0.159
Wait,,,,,Passed,0.516
Wake up,,,,,Passed,1.143
Wait,,,,,Passed,0.526
Switch OFF CAN_34,,,,,Passed,0.188
Wait,,,,,Passed,5.017
Standby Power Current Measure,0.733,,0.6,0.9,Passed,0.165
Connect DUT,,,,,Passed,4.716
Wait,,,,,Passed,0.517
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.069
Switch On 14,,,,,Passed,0.136
Wait,,,,,Passed,0.517
Switch OFF CAN_43,,,,,Passed,0.142
Switch On 12V_10,,,,,Passed,0.145
Switch On 12V_20,,,,,Passed,0.135
EnvironmentPath,,,,,Passed,1.082
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.202
FPGA version,0d180a03,,0d180a03,,Passed,0.032
MCU version,0405,,0405,,Passed,0.031
Read FSSMACS_AclState,50,,30,50,Passed,0.024
Read FTSMACS_AclState,3,,3,3,Passed,0.026
Read SASMACS_AclState,2,,2,2,Passed,0.029
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.026
Read FTEAEXC_UResExcAvg,0.982,,0.95,1.2,Passed,0.025
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.074
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.024
Wait,,,,,Passed,0.516
Set LV Voltage=10V,,,,,Passed,0.152
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1160,,900,1300,Passed,0.051
Set_LV_Voltage=12V,,,,,Passed,0.155
Wait,,,,,Passed,0.516
Read_FS_UbatLV_U16,1404,,1200,1600,Passed,0.047
Set_LV_Voltage=14V,,,,,Passed,0.165
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1646,,1400,1800,Passed,0.056
Read Correction,0.00823,,0,1,Passed,0.098
LV_Caculation ,,,,,Passed,0.065
NumericTest,0.00823,,0,1,Passed,0.003
Set_LV_Voltage=12.5V,,,,,Passed,0.150
Switch On CAN_34,,,,,Passed,0.150
HV_Channel ON,,,,,Passed,0.130
Apply HV Battery = 0V,,,,,Passed,0.057
HV_Source ON,,,,,Passed,0.053
Switch On HV_36,,,,,Passed,0.143
Switch On HV_38,,,,,Passed,0.141
Switch On 12V_8,,,,,Passed,0.151
Switch On 12V_9,,,,,Passed,0.152
Switch On ENS_20,,,,,Passed,0.142
Read T_Iuvw3_U16[0],2046,,2024,2080,Passed,0.025
Read T_Iuvw3_U16[1],2054,,2024,2080,Passed,0.026
Read T_Iuvw3_U16[2],2055,,2024,2080,Passed,0.025
Read FS_IbatHV_U16,2054,,2024,2080,Passed,0.028
HV_Channel ON,,,,,Passed,0.131
HV_Source ON,,,,,Passed,0.048
Apply HV Battery = 270V,,,,,Passed,0.058
Apply HV Battery =1A,,,,,Passed,0.051
Wait,,,,,Passed,0.521
Read FSEABHV_UbatHV,270.138,,265,273,Passed,0.024
HV_Channel OFF,,,,,Passed,0.130
HV_Source OFF,,,,,Passed,0.044
Wait,,,,,Passed,1.017
Read FSMAPMT_PmTemp,22.558,,18,26,Passed,0.024
Read FSMADBT_DboardTemp,22.340,,18,40,Passed,0.026
Read FSMACBT_CboardTempHV,22.894,,18,40,Passed,0.024
Read FSMACBT_CboardTempLV,22.596,,18,40,Passed,0.025
Read FSMAICT_CoolingTemp,21.574,,18,28,Passed,0.024
Read FSMAMST_StatorTemp1,83.237,,78,88,Passed,0.025
Read FSMAMST_StatorTemp2,86.763,,78,88,Passed,0.024
Wait,,,,,Passed,0.517
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.157
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.166
Wait,,,,,Passed,0.517
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.175
Set MAIN_u16ModeReq=1,,,,,Passed,0.170
Wait,,,,,Passed,0.517
Set UDS_bRoutineActive=1,,,,,Passed,0.450
Set UDS_bRoutineActive=1,,,,,Passed,0.312
Wait,,,,,Passed,0.517
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.170
Wait,,,,,Passed,0.517
ENS testing ENS_u32Dty,9749,,5000,15000,Passed,1.125
ENS testing ENS_u32Prd,19998,,10000,30000,Passed,1.080
HV_Channel ON,,,,,Passed,0.131
HV_Source ON,,,,,Passed,0.046
Apply HV Battery = 220V,,,,,Passed,0.054
Wait,,,,,Passed,0.516
Read FS_UbatHV_U16,957,,900,1000,Passed,0.046
Apply HV Battery = 280V,,,,,Passed,0.044
Wait,,,,,Passed,0.516
