Product Name,29113425
Station Name,EOL
Serial Number,!203100097!_V29113441
DateTime,20210307_192232
Total Test Time,281.800000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.747
Switch ON CAN_12,,,,,Passed,0.136
Switch On CAN_34,,,,,Passed,0.133
Voltage=12.5V,,,,,Passed,0.145
Current=5A,,,,,Passed,0.111
12V_DC_Source,,,,,Passed,0.120
Wait,,,,,Passed,1.018
Switch ON Current measure,,,,,Passed,0.134
Switch OFF 12V_9,,,,,Passed,0.133
Switch On 12V_9,,,,,Passed,0.136
Wait,,,,,Passed,0.517
Switch OFF Current measure,,,,,Passed,0.137
Wait,,,,,Passed,0.516
Wake up,,,,,Passed,1.044
Wait,,,,,Passed,0.554
Switch OFF CAN_34,,,,,Passed,0.134
Wait,,,,,Passed,5.017
Standby Power Current Measure,0.708,,0.6,0.9,Passed,0.160
Connect DUT,,,,,Passed,4.642
Wait,,,,,Passed,0.518
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.034
Switch On 14,,,,,Passed,0.135
Wait,,,,,Passed,0.517
Switch OFF CAN_43,,,,,Passed,0.134
Switch On 12V_10,,,,,Passed,0.133
Switch On 12V_20,,,,,Passed,0.148
EnvironmentPath,,,,,Passed,1.015
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.161
FPGA version,0d180a03,,0d180a03,,Passed,0.025
MCU version,0405,,0405,,Passed,0.028
Read FSSMACS_AclState,50,,30,50,Passed,0.026
Read FTSMACS_AclState,3,,3,3,Passed,0.026
Read SASMACS_AclState,2,,2,2,Passed,0.026
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.026
Read FTEAEXC_UResExcAvg,0.977,,0.95,1.2,Passed,0.027
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.026
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.026
Wait,,,,,Passed,0.517
Set LV Voltage=10V,,,,,Passed,0.143
Wait,,,,,Passed,0.516
Read_FS_UbatLV_U16,1155,,900,1300,Passed,0.048
Set_LV_Voltage=12V,,,,,Passed,0.151
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1397,,1200,1600,Passed,0.048
Set_LV_Voltage=14V,,,,,Passed,0.168
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1639,,1400,1800,Passed,0.048
Read Correction,0.00826,,0,1,Passed,0.049
LV_Caculation ,,,,,Passed,0.030
NumericTest,0.00826,,0,1,Passed,0.001
Set_LV_Voltage=12.5V,,,,,Passed,0.166
Switch On CAN_34,,,,,Passed,0.134
HV_Channel ON,,,,,Passed,0.130
Apply HV Battery = 0V,,,,,Passed,0.046
HV_Source ON,,,,,Passed,0.045
Switch On HV_36,,,,,Passed,0.134
Switch On HV_38,,,,,Passed,0.134
Switch On 12V_8,,,,,Passed,0.134
Switch On 12V_9,,,,,Passed,0.134
Switch On ENS_20,,,,,Passed,0.134
Read T_Iuvw3_U16[0],2043,,2024,2080,Passed,0.026
Read T_Iuvw3_U16[1],2053,,2024,2080,Passed,0.027
Read T_Iuvw3_U16[2],2056,,2024,2080,Passed,0.030
Read FS_IbatHV_U16,2045,,2024,2080,Passed,0.027
HV_Channel ON,,,,,Passed,0.130
HV_Source ON,,,,,Passed,0.052
Apply HV Battery = 270V,,,,,Passed,0.046
Apply HV Battery =1A,,,,,Passed,0.046
Wait,,,,,Passed,0.517
Read FSEABHV_UbatHV,269.670,,265,273,Passed,0.026
HV_Channel OFF,,,,,Passed,0.130
HV_Source OFF,,,,,Passed,0.045
Wait,,,,,Passed,1.018
Read FSMAPMT_PmTemp,21.635,,18,26,Passed,0.026
Read FSMADBT_DboardTemp,21.319,,18,40,Passed,0.026
Read FSMACBT_CboardTempHV,21.787,,18,40,Passed,0.026
Read FSMACBT_CboardTempLV,21.660,,18,40,Passed,0.028
Read FSMAICT_CoolingTemp,20.766,,18,28,Passed,0.030
Read FSMAMST_StatorTemp1,83.237,,78,88,Passed,0.026
Read FSMAMST_StatorTemp2,86.647,,78,88,Passed,0.026
Wait,,,,,Passed,0.517
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.165
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.165
Wait,,,,,Passed,0.516
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.310
Set MAIN_u16ModeReq=1,,,,,Passed,0.169
Wait,,,,,Passed,0.517
Set UDS_bRoutineActive=1,,,,,Passed,0.176
Set UDS_bRoutineActive=1,,,,,Passed,0.174
Wait,,,,,Passed,0.517
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.174
Wait,,,,,Passed,0.517
ENS testing ENS_u32Dty,9784,,5000,15000,Passed,1.080
ENS testing ENS_u32Prd,19993,,10000,30000,Passed,1.081
HV_Channel ON,,,,,Passed,0.130
HV_Source ON,,,,,Passed,0.056
Apply HV Battery = 220V,,,,,Passed,0.045
Wait,,,,,Passed,0.521
Read FS_UbatHV_U16,953,,900,1000,Passed,0.048
Apply HV Battery = 280V,,,,,Passed,0.045
Wait,,,,,Passed,0.517
Read FS_UbatHV_U16,1210,,1000,1300,Passed,0.047
Apply HV Battery = 350V,,,,,Passed,0.046
Wait,,,,,Passed,0.517
Read FS_UbatHV_U16,1509,,1400,1600,Passed,0.052
