Product Name,29113425
Station Name,EOL
Serial Number,!202960033!_V29113441
DateTime,20210307_184638
Total Test Time,282.200000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.759
Switch ON CAN_12,,,,,Passed,0.138
Switch On CAN_34,,,,,Passed,0.130
Voltage=12.5V,,,,,Passed,0.166
Current=5A,,,,,Passed,0.106
12V_DC_Source,,,,,Passed,0.094
Wait,,,,,Passed,1.017
Switch ON Current measure,,,,,Passed,0.132
Switch OFF 12V_9,,,,,Passed,0.131
Switch On 12V_9,,,,,Passed,0.133
Wait,,,,,Passed,0.517
Switch OFF Current measure,,,,,Passed,0.131
Wait,,,,,Passed,0.517
Wake up,,,,,Passed,1.049
Wait,,,,,Passed,0.516
Switch OFF CAN_34,,,,,Passed,0.132
Wait,,,,,Passed,5.017
Standby Power Current Measure,0.726,,0.6,0.9,Passed,0.191
Connect DUT,,,,,Passed,4.651
Wait,,,,,Passed,0.517
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.027
Switch On 14,,,,,Passed,0.139
Wait,,,,,Passed,0.519
Switch OFF CAN_43,,,,,Passed,0.132
Switch On 12V_10,,,,,Passed,0.133
Switch On 12V_20,,,,,Passed,0.135
EnvironmentPath,,,,,Passed,0.996
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.157
FPGA version,0d180a03,,0d180a03,,Passed,0.034
MCU version,0405,,0405,,Passed,0.026
Read FSSMACS_AclState,50,,30,50,Passed,0.026
Read FTSMACS_AclState,3,,3,3,Passed,0.026
Read SASMACS_AclState,2,,2,2,Passed,0.027
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.026
Read FTEAEXC_UResExcAvg,0.988,,0.95,1.2,Passed,0.026
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.029
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.027
Wait,,,,,Passed,0.517
Set LV Voltage=10V,,,,,Passed,0.139
Wait,,,,,Passed,0.516
Read_FS_UbatLV_U16,1168,,900,1300,Passed,0.049
Set_LV_Voltage=12V,,,,,Passed,0.144
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1410,,1200,1600,Passed,0.046
Set_LV_Voltage=14V,,,,,Passed,0.146
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1650,,1400,1800,Passed,0.047
Read Correction,0.00830,,0,1,Passed,0.049
LV_Caculation ,,,,,Passed,0.029
NumericTest,0.00830,,0,1,Passed,0.001
Set_LV_Voltage=12.5V,,,,,Passed,0.167
Switch On CAN_34,,,,,Passed,0.138
HV_Channel ON,,,,,Passed,0.132
Apply HV Battery = 0V,,,,,Passed,0.045
HV_Source ON,,,,,Passed,0.045
Switch On HV_36,,,,,Passed,0.133
Switch On HV_38,,,,,Passed,0.134
Switch On 12V_8,,,,,Passed,0.133
Switch On 12V_9,,,,,Passed,0.133
Switch On ENS_20,,,,,Passed,0.133
Read T_Iuvw3_U16[0],2044,,2024,2080,Passed,0.029
Read T_Iuvw3_U16[1],2058,,2024,2080,Passed,0.027
Read T_Iuvw3_U16[2],2052,,2024,2080,Passed,0.031
Read FS_IbatHV_U16,2049,,2024,2080,Passed,0.027
HV_Channel ON,,,,,Passed,0.130
HV_Source ON,,,,,Passed,0.045
Apply HV Battery = 270V,,,,,Passed,0.045
Apply HV Battery =1A,,,,,Passed,0.055
Wait,,,,,Passed,0.516
Read FSEABHV_UbatHV,270.00540,,265,273,Passed,0.026
HV_Channel OFF,,,,,Passed,0.129
HV_Source OFF,,,,,Passed,0.045
Wait,,,,,Passed,1.016
