Product Name,29113425
Station Name,EOL
Serial Number,!202990121!_V29113441
DateTime,20210307_193001
Total Test Time,281.400000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.746
Switch ON CAN_12,,,,,Passed,0.147
Switch On CAN_34,,,,,Passed,0.131
Voltage=12.5V,,,,,Passed,0.147
Current=5A,,,,,Passed,0.130
12V_DC_Source,,,,,Passed,0.098
Wait,,,,,Passed,1.017
Switch ON Current measure,,,,,Passed,0.136
Switch OFF 12V_9,,,,,Passed,0.132
Switch On 12V_9,,,,,Passed,0.131
Wait,,,,,Passed,0.516
Switch OFF Current measure,,,,,Passed,0.135
Wait,,,,,Passed,0.517
Wake up,,,,,Passed,1.053
Wait,,,,,Passed,0.526
Switch OFF CAN_34,,,,,Passed,0.131
Wait,,,,,Passed,5.017
Standby Power Current Measure,0.748,,0.6,0.9,Passed,0.160
Connect DUT,,,,,Passed,4.638
Wait,,,,,Passed,0.518
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.027
Switch On 14,,,,,Passed,0.133
Wait,,,,,Passed,0.517
Switch OFF CAN_43,,,,,Passed,0.134
Switch On 12V_10,,,,,Passed,0.133
Switch On 12V_20,,,,,Passed,0.133
EnvironmentPath,,,,,Passed,1.008
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.170
FPGA version,0d180a03,,0d180a03,,Passed,0.026
MCU version,0405,,0405,,Passed,0.026
Read FSSMACS_AclState,50,,30,50,Passed,0.026
Read FTSMACS_AclState,3,,3,3,Passed,0.027
Read SASMACS_AclState,2,,2,2,Passed,0.026
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.026
Read FTEAEXC_UResExcAvg,0.982,,0.95,1.2,Passed,0.030
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.025
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.026
Wait,,,,,Passed,0.517
Set LV Voltage=10V,,,,,Passed,0.144
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1159,,900,1300,Passed,0.048
Set_LV_Voltage=12V,,,,,Passed,0.163
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1403,,1200,1600,Passed,0.047
Set_LV_Voltage=14V,,,,,Passed,0.164
Wait,,,,,Passed,0.517
Read_FS_UbatLV_U16,1645,,1400,1800,Passed,0.046
Read Correction,0.00823,,0,1,Passed,0.049
LV_Caculation ,,,,,Passed,0.031
NumericTest,0.00823,,0,1,Passed,0.000
Set_LV_Voltage=12.5V,,,,,Passed,0.163
Switch On CAN_34,,,,,Passed,0.134
HV_Channel ON,,,,,Passed,0.131
Apply HV Battery = 0V,,,,,Passed,0.046
HV_Source ON,,,,,Passed,0.046
Switch On HV_36,,,,,Passed,0.135
Switch On HV_38,,,,,Passed,0.134
Switch On 12V_8,,,,,Passed,0.134
Switch On 12V_9,,,,,Passed,0.135
Switch On ENS_20,,,,,Passed,0.155
Read T_Iuvw3_U16[0],2046,,2024,2080,Passed,0.032
Read T_Iuvw3_U16[1],2064,,2024,2080,Passed,0.026
Read T_Iuvw3_U16[2],2056,,2024,2080,Passed,0.031
Read FS_IbatHV_U16,2039,,2024,2080,Passed,0.035
HV_Channel ON,,,,,Passed,0.133
HV_Source ON,,,,,Passed,0.046
Apply HV Battery = 270V,,,,,Passed,0.055
Apply HV Battery =1A,,,,,Passed,0.046
Wait,,,,,Passed,0.517
Read FSEABHV_UbatHV,269.820,,265,273,Passed,0.027
HV_Channel OFF,,,,,Passed,0.130
HV_Source OFF,,,,,Passed,0.055
Wait,,,,,Passed,1.017
Read FSMAPMT_PmTemp,21.132,,18,26,Passed,0.026
Read FSMADBT_DboardTemp,21.234,,18,40,Passed,0.028
Read FSMACBT_CboardTempHV,21.787,,18,40,Passed,0.033
Read FSMACBT_CboardTempLV,21.447,,18,40,Passed,0.026
Read FSMAICT_CoolingTemp,20.809,,18,28,Passed,0.026
Read FSMAMST_StatorTemp1,83.121,,78,88,Passed,0.026
Read FSMAMST_StatorTemp2,86.647,,78,88,Passed,0.026
Wait,,,,,Passed,0.518
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.157
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.162
Wait,,,,,Passed,0.517
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.186
Set MAIN_u16ModeReq=1,,,,,Passed,0.174
Wait,,,,,Passed,0.517
Set UDS_bRoutineActive=1,,,,,Passed,0.171
Set UDS_bRoutineActive=1,,,,,Passed,0.172
Wait,,,,,Passed,0.517
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.173
Wait,,,,,Passed,0.517
ENS testing ENS_u32Dty,9758,,5000,15000,Passed,1.081
ENS testing ENS_u32Prd,20003,,10000,30000,Passed,1.090
HV_Channel ON,,,,,Passed,0.130
HV_Source ON,,,,,Passed,0.046
Apply HV Battery = 220V,,,,,Passed,0.046
Wait,,,,,Passed,0.517
Read FS_UbatHV_U16,958,,900,1000,Passed,0.051
Apply HV Battery = 280V,,,,,Passed,0.055
Wait,,,,,Passed,0.516
Read FS_UbatHV_U16,1215,,1000,1300,Passed,0.047
Apply HV Battery = 350V,,,,,Passed,0.057
Wait,,,,,Passed,0.517
Read FS_UbatHV_U16,1515,,1400,1600,Passed,0.048
Read Correction,0.233,,0,1,Passed,0.048
HV_Caculation ,,,,,Passed,0.029
Wait,,,,,Passed,1.518
Check_the_water,1,,1,1,Passed,7.474
U_LOAD,,,,,Passed,0.045
V_LOAD,,,,,Passed,0.043
W_LOAD,,,,,Passed,0.045
Wait,,,,,Passed,0.517
Apply HV Battery =270V,,,,,Passed,0.045
Apply HV Battery =25A,,,,,Passed,0.045
Read FSSMACS_AclState,50,,30,50,Passed,0.025
Read FTSMACS_AclState,3,,3,3,Passed,0.027
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.160
Wait,,,,,Passed,0.167
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.159
Wait,,,,,Passed,0.517
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.179
Wait,,,,,Passed,1.018
Set UDS_bRoutineActive=1,,,,,Passed,0.313
Wait,,,,,Passed,1.017
Read FSSMACS_Aclstate,50,,30,50,Passed,0.026
Set MAIN_u8GKNAppliModeBYPC=1,,,,,Passed,0.157
Set MAIN_u16ModeReq=0,,,,,Passed,0.024
Set MAIN_u16ModeReq=0,,,,,Passed,0.025
Read FSSMACS_Aclstate,31,,30,31,Passed,0.029
Wait,,,,,Passed,0.518
Set FTSMACS_FtModeReqBypassOnOffC=1,,,,,Passed,0.161
Wait,,,,,Passed,0.517
Set FTSMACS_FtModeReqBypassValueC=6,,,,,Passed,0.159
Wait,,,,,Passed,0.516
Read FTSMACS_AclState,8,,8,8,Passed,0.026
Wait,,,,,Passed,0.517
Read FSSMACS_Aclstate,31,,30,31,Passed,0.026
Set_FTCIVDC_ExtPwmOnOff3C=1,,,,,Passed,0.160
Wait,,,,,Passed,0.517
Set_U_DutyCycle= 0.548,,,,,Passed,0.159
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[0],1536,,1300,1700,Passed,0.051
Read U Current,-358.450,,-500,500,Passed,0.134
Set_U_DutyCycle= 0.545,,,,,Passed,0.158
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[0],1667,,1500,1900,Passed,0.048
Read U Current,-264.824,,-500,500,Passed,0.136
Set_U_DutyCycle= 0.54,,,,,Passed,0.162
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[0],1861,,1700,2100,Passed,0.048
Read U Current,-125.591,,-500,500,Passed,0.136
Set_U_DutyCycle= 0.5,,,,,Passed,0.160
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[0],2049,,1900,2300,Passed,0.050
Read U Current,2.408,,-500,500,Passed,0.136
Set_U_DutyCycle= 0.46,,,,,Passed,0.165
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[0],2268,,2100,2500,Passed,0.048
Read U Current,157.0883,,-500,500,Passed,0.136
Set_U_DutyCycle= 0.455,,,,,Passed,0.160
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[0],2482,,2300,2700,Passed,0.049
Read U Current,308.215,,-500,500,Passed,0.136
Set_U_DutyCycle= 0.452,,,,,Passed,0.159
Wait,,,,,Passed,0.516
Read FT_Iuvw3_U16[0],2631,,2500,2900,Passed,0.047
Read U Current,411.308,,-500,500,Passed,0.142
Set_V_DutyCycle= 0.548,,,,,Passed,0.164
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[1],1571,,1300,1700,Passed,0.050
Read V Current,-347.845,,-500,500,Passed,0.135
Set_V_DutyCycle= 0.545,,,,,Passed,0.160
Wait,,,,,Passed,0.516
Read FT_Iuvw3_U16[1],1698,,1500,1900,Passed,0.048
Read V Current,-257.698,,-500,500,Passed,0.136
Set_V_DutyCycle= 0.54,,,,,Passed,0.162
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[1],1884,,1700,2100,Passed,0.047
Read V Current,-124.866,,-500,500,Passed,0.135
Set_V_DutyCycle= 0.5,,,,,Passed,0.165
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[1],2062,,1900,2300,Passed,0.049
Read V Current,2.631,,-500,500,Passed,0.134
Set_V_DutyCycle= 0.46,,,,,Passed,0.162
Wait,,,,,Passed,0.518
Read FT_Iuvw3_U16[1],2265,,2100,2500,Passed,0.048
Read V Current,148.776,,-500,500,Passed,0.136
Set_V_DutyCycle= 0.455,,,,,Passed,0.162
Wait,,,,,Passed,0.518
Read FT_Iuvw3_U16[1],2459,,2300,2700,Passed,0.047
Read V Current,288.161,,-500,500,Passed,0.135
Set_V_DutyCycle= 0.452,,,,,Passed,0.161
Wait,,,,,Passed,0.520
Read FT_Iuvw3_U16[1],2598,,2500,2900,Passed,0.048
Read V Current,384.0649,,-500,500,Passed,0.135
Set_W_DutyCycle= 0.548,,,,,Passed,0.164
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[2],1545,,1300,1700,Passed,0.048
Read W Current,-363.347,,-500,500,Passed,0.135
Set_W_DutyCycle= 0.545,,,,,Passed,0.162
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[2],1679,,1500,1900,Passed,0.047
Read W Current,-264.669,,-500,500,Passed,0.135
Set_W_DutyCycle= 0.54,,,,,Passed,0.159
Wait,,,,,Passed,0.517
Read FT_Iuvw3_U16[2],1879,,1700,2100,Passed,0.048
Read W Current,-119.538,,-500,500,Passed,0.135
Set_W_DutyCycle= 0.5,,,,,Passed,0.162
Wait,,,,,Passed,0.516
Read FT_Iuvw3_U16[2],2055,,1900,2300,Passed,0.052
