Product Name,29113425
Station Name,EOL
Serial Number,!210240019!_V29113441
DateTime,20210412_102411
Total Test Time,110.200000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.743
Switch ON CAN_12,,,,,Passed,0.140
Switch On CAN_34,,,,,Passed,0.130
Voltage=12.5V,,,,,Passed,0.143
Current=5A,,,,,Passed,0.102
12V_DC_Source,,,,,Passed,0.096
Wait,,,,,Passed,1.019
Switch ON Current measure,,,,,Passed,0.132
Switch OFF 12V_9,,,,,Passed,0.130
Switch On 12V_9,,,,,Passed,0.133
Wait,,,,,Passed,0.516
Switch OFF Current measure,,,,,Passed,0.147
Wait,,,,,Passed,0.515
Wake up,,,,,Passed,1.042
Wait,,,,,Passed,0.516
Switch OFF CAN_34,,,,,Passed,0.135
Wait,,,,,Passed,5.016
Standby Power Current Measure,0.720,,0.6,0.9,Passed,0.181
Connect DUT,,,,,Passed,4.689
Wait,,,,,Passed,0.516
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.024
Switch On 14,,,,,Passed,0.131
Wait,,,,,Passed,0.516
Switch OFF CAN_43,,,,,Passed,0.130
Switch On 12V_10,,,,,Passed,0.131
Switch On 12V_20,,,,,Passed,0.133
EnvironmentPath,,,,,Passed,1.061
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.160
FPGA version,0d180a03,,0d180a03,,Passed,0.024
MCU version,0405,,0405,,Passed,0.024
Read FSSMACS_AclState,50,,30,50,Passed,0.023
Read FTSMACS_AclState,3,,3,3,Passed,0.026
Read SASMACS_AclState,2,,2,2,Passed,0.023
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.023
Read FTEAEXC_UResExcAvg,0.985,,0.95,1.2,Passed,0.024
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.024
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.023
Wait,,,,,Passed,0.516
Set LV Voltage=10V,,,,,Passed,0.160
Wait,,,,,Passed,0.516
Read_FS_UbatLV_U16,1159,,900,1300,Passed,0.048
Set_LV_Voltage=12V,,,,,Passed,0.168
Wait,,,,,Passed,0.516
Read_FS_UbatLV_U16,1402,,1200,1600,Passed,0.045
Set_LV_Voltage=14V,,,,,Passed,0.142
Wait,,,,,Passed,0.516
Read_FS_UbatLV_U16,1643,,1400,1800,Passed,0.045
Read Correction,0.00826,,0,1,Passed,0.045
LV_Caculation ,,,,,Passed,0.028
NumericTest,0.00826,,0,1,Passed,0.000
Set_LV_Voltage=12.5V,,,,,Passed,0.137
Switch On CAN_34,,,,,Passed,0.132
HV_Channel ON,,,,,Passed,0.129
Apply HV Battery = 0V,,,,,Passed,0.044
